행정동_코드,행정동명,area_km2,총_매출_금액,매출_밀도
11110515,청운효자동,2.57,105784347917,41161224870.42802
11110530,사직동,1.23,414597056463,337070777612.1951
11110540,삼청동,1.49,156408943797,104972445501.34229
11110550,부암동,2.27,30497122641,13434855788.986784
11110560,평창동,8.87,34184622026,3853959642.1646
11110570,무악동,0.36,31864050968,88511252688.88889
11110580,교남동,0.35,38388158877,109680453934.28572
11110600,가회동,0.54,109138827537,202108939883.3333
11110615,종로1·2·3·4가동,,2300110141756,
11110630,종로5·6가동,,428499526773,
11110640,이화동,0.78,146727417352,188112073528.2051
11110650,혜화동,1.12,222384502757,198557591747.3214
11110670,창신1동,0.31,288624687339,931047378512.9032
11110680,창신2동,0.26,52130840442,200503232469.2308
11110690,창신3동,0.23,1988562523,8645924013.043478
11110700,숭인1동,0.23,15065949142,65504126704.347824
11110710,숭인2동,0.35,119675822616,341930921760.0
11140520,소공동,0.95,616618829000,649072451578.9474
11140540,회현동,0.84,939756546613,1118757793586.9048
11140550,명동,0.99,994283322289,1004326588170.707
11140570,필동,1.14,147239143661,129157143562.28072
11140580,장충동,1.36,87232092627,64141244578.67647
11140590,광희동,0.74,670154778732,905614565854.054
11140605,을지로동,0.6,928778392471,1547963987451.6667
11140615,신당동,0.55,290517603087,528213823794.5454
11140625,다산동,0.51,165640946578,324786169760.7843
11140635,약수동,0.48,105490692433,219772275902.0833
11140645,청구동,0.34,41619602426,122410595370.58824
11140650,신당5동,0.39,113235286219,290346887741.02563
11140665,동화동,0.26,92009664222,353883323930.7692
11140670,황학동,0.33,225546147808,683473175175.7576
11140680,중림동,0.48,130079363598,270998674162.5
11170510,후암동,0.86,88218313153,102579433898.8372
11170520,용산2가동,1.96,55159711515,28142709956.63265
11170530,남영동,1.19,253251306549,212816223990.75632
11170555,청파동,0.91,160644640036,176532571468.13187
11170560,원효로1동,0.59,467322932571,792072767069.4916
11170570,원효로2동,0.71,217234387083,305963925469.0141
11170580,효창동,0.44,44420578258,100955859677.27272
11170590,용문동,0.28,114291719796,408184713557.1428
11170625,한강로동,2.9,2429295877677,837688233681.7241
11170630,이촌1동,2.86,136203632374,47623647683.21678
11170640,이촌2동,1.22,24914311941,20421567164.754097
11170650,이태원1동,0.57,298125595611,523027360721.0527
11170660,이태원2동,0.86,67377125143,78345494352.32558
11170685,한남동,3.01,378703378789,125815076009.63457
11170690,서빙고동,2.8,13177256401,4706163000.357143
11170700,보광동,0.71,45100566157,63521924164.788734
11200520,왕십리2동,0.41,52527917597,128116872187.80489
11200535,왕십리도선동,0.72,165868153854,230372435908.3333
11200540,마장동,1.05,108038664342,102893966040.0
11200550,사근동,1.1,151403723097,137639748270.0
11200560,행당1동,0.59,164759995721,279254230035.59326
11200570,행당2동,0.42,24080395803,57334275721.42857
11200580,응봉동,0.57,10730830181,18826017861.40351
11200590,금호1가동,0.46,20646962240,44884700521.73913
11200615,금호2·3가동,,74076480454,
11200620,금호4가동,0.84,68522026235,81573840755.95238
11200645,옥수동,1.94,44793536171,23089451634.536083
11200650,성수1가1동,1.97,81964301440,41606244385.7868
11200660,성수1가2동,0.89,252279842873,283460497610.1124
11200670,성수2가1동,1.17,321803506257,275045731843.5898
11200690,성수2가3동,1.03,482163508799,468119911455.3398
11200720,송정동,0.75,29081694142,38775592189.333336
11200790,용답동,2.31,134918528975,58406289599.5671
11215710,화양동,1.16,360220368908,310534800782.75867
11215730,군자동,0.74,164608900041,222444459514.86487
11215740,중곡1동,0.62,222360742270,358646358500.0
11215750,중곡2동,0.55,157329125551,286052955547.2727
