행정동명,area_km2,bus_cnt,bus_dens,population,bus_per_10k
사직동,1.23,3,2.439,8906.0,3.368515607455648
사직동,1.23,3,2.439,4442.0,6.753714542998649
삼청동,1.49,7,4.698,2157.0,32.452480296708394
부암동,2.27,9,3.965,9030.0,9.966777408637874
평창동,8.87,32,3.608,17210.0,18.593840790238232
무악동,0.36,5,13.889,7818.0,6.395497569710924
교남동,0.35,3,8.571,9498.0,3.158559696778269
가회동,0.54,5,9.259,3711.0,13.473457289140391
종로1.2.3.4가동,2.35,1,0.426,6700.0,1.4925373134328357
종로5.6가동,0.6,2,3.333,5277.0,3.7900322152738304
이화동,0.78,7,8.974,7051.0,9.92766983406609
혜화동,1.12,6,5.357,15781.0,3.8020404283632216
창신1동,0.31,0,0.0,,
창신2동,0.26,0,0.0,,
창신3동,0.23,0,0.0,,
숭인1동,0.23,0,0.0,,
숭인2동,0.35,0,0.0,,
청운효자동,2.57,3,1.167,10978.0,2.732738203680088
소공동,0.95,2,2.105,2180.0,9.174311926605505
회현동,0.84,0,0.0,4288.0,0.0
회현동,0.84,0,0.0,8056.0,0.0
명동,0.99,1,1.01,2502.0,3.996802557953637
필동,1.14,1,0.877,4339.0,2.30467849734962
장충동,1.36,1,0.735,4601.0,2.1734405564007826
광희동,0.74,0,0.0,5721.0,0.0
을지로동,0.6,2,3.333,3032.0,6.596306068601582
신당5동,0.39,0,0.0,,
황학동,0.33,1,3.03,13116.0,0.7624275693809087
중림동,0.48,4,8.333,12024.0,3.3266799733865606
신당동,0.55,4,7.273,7359.0,5.435521130588395
신당동,0.55,4,7.273,28504.0,1.4033118158854898
다산동,0.51,6,11.765,13060.0,4.594180704441041
약수동,0.48,16,33.333,15859.0,10.088908506210984
청구동,0.34,4,11.765,11375.0,3.5164835164835164
동화동,0.26,9,34.615,9816.0,9.168704156479215
후암동,0.86,15,17.442,15742.0,9.528649472748064
용산2가동,1.96,8,4.082,8595.0,9.307737056428156
남영동,1.19,8,6.723,6709.0,11.924280816813235
원효로2동,0.71,0,0.0,,
효창동,0.44,5,11.364,10486.0,4.768262445164982
용문동,0.28,14,50.0,11126.0,12.58313859428366
용문동,0.28,14,50.0,17460.0,8.018327605956472
이촌1동,2.86,0,0.0,,
이촌2동,1.22,0,0.0,,
이태원1동,0.57,0,0.0,,
이태원2동,0.86,0,0.0,,
서빙고동,2.8,11,3.929,12281.0,8.95692533181337
보광동,0.71,9,12.676,7045.0,12.775017743080198
청파동,0.91,0,0.0,18528.0,0.0
원효로1동,0.59,0,0.0,,
한강로동,2.9,9,3.103,21030.0,4.279600570613409
한남동,3.01,31,10.299,13944.0,22.23178427997705
왕십리2동,0.41,0,0.0,,
마장동,1.05,13,12.381,21340.0,6.091846298031865
사근동,1.1,37,33.636,12050.0,30.705394190871367
행당1동,0.59,0,0.0,,
행당2동,0.42,0,0.0,,
응봉동,0.57,42,73.684,14593.0,28.780922360035632
금호1가동,0.46,18,39.13,14460.0,12.448132780082988
금호4가동,0.84,18,21.429,14021.0,12.837886028100709
성수1가1동,1.97,0,0.0,,
성수1가2동,0.89,0,0.0,,
성수2가1동,1.17,0,0.0,,
성수2가3동,1.03,0,0.0,,
송정동,0.75,10,13.333,9321.0,10.7284626113078
송정동,0.75,10,13.333,9112.0,10.974539069359087
송정동,0.75,10,13.333,36189.0,2.7632706070905524
송정동,0.75,10,13.333,22826.0,4.380969070358363
송정동,0.75,10,13.333,9221.0,10.844810758052272
송정동,0.75,10,13.333,3375.0,29.629629629629623
송정동,0.75,10,13.333,23299.0,4.29202970084553
용답동,2.31,17,7.359,12157.0,13.983713087110306
왕십리도선동,0.72,7,9.722,25879.0,2.704895861509332
금호2.3가동,0.64,9,14.062,20733.0,4.340905802344089
옥수동,1.94,44,22.68,25178.0,17.475573913734213
화양동,1.16,35,30.172,23028.0,15.19888830988362
군자동,0.74,15,20.27,18597.0,8.065817067268915
군자동,0.74,15,20.27,21490.0,6.979990693345743
중곡1동,0.62,0,0.0,,
중곡2동,0.55,0,0.0,,
중곡3동,0.6,0,0.0,,
중곡4동,2.32,0,0.0,,
능동,1.1,7,6.364,10812.0,6.474287828338883
구의1동,0.56,0,0.0,,
구의2동,1.39,0,0.0,,
구의3동,1.02,0,0.0,,
광장동,2.39,31,12.971,33412.0,9.27810367532623
자양1동,0.57,0,0.0,,
자양2동,1.68,0,0.0,,
자양3동,1.2,0,0.0,,
자양4동,1.16,0,0.0,,
회기동,0.76,28,36.842,10245.0,27.33040507564666
휘경1동,0.63,0,0.0,,
휘경2동,1.05,0,0.0,,
청량리동,1.2,29,24.167,18294.0,15.852191975511095
용신동,1.61,5,3.106,38814.0,1.2881949811923532
제기동,1.18,13,11.017,22802.0,5.701254275940707
전농1동,1.19,0,0.0,,
전농2동,0.86,0,0.0,,
답십리1동,0.81,0,0.0,,
답십리2동,0.85,0,0.0,,
장안1동,1.25,0,0.0,,
장안2동,1.09,0,0.0,,
이문1동,1.04,0,0.0,,
이문2동,0.69,0,0.0,,
면목2동,0.77,0,0.0,,
면목4동,0.87,0,0.0,,
면목5동,0.7,0,0.0,,
면목7동,1.2,0,0.0,,
상봉1동,0.88,0,0.0,,
상봉2동,0.65,0,0.0,,
중화1동,0.64,0,0.0,,
중화2동,1.01,0,0.0,,
묵1동,1.2,0,0.0,,
묵2동,0.67,0,0.0,,
망우3동,0.92,0,0.0,,
신내1동,2.56,0,0.0,36927.0,0.0
신내2동,0.93,17,18.28,19211.0,8.849096871583988
면목본동,0.84,0,0.0,32080.0,0.0
면목3.8동,1.63,0,0.0,,
망우본동,3.03,25,8.251,38179.0,6.548102359936091
돈암1동,0.49,0,0.0,,
돈암2동,0.48,0,0.0,,
안암동,1.33,2,1.504,15469.0,1.2929083974400415
보문동,0.56,1,1.786,15963.0,0.6264486625321055
정릉1동,0.44,0,0.0,,
정릉2동,1.17,0,0.0,,
정릉3동,3.71,0,0.0,,
정릉4동,3.13,0,0.0,,
길음1동,0.79,0,0.0,,
길음2동,0.58,0,0.0,,
월곡1동,0.81,0,0.0,9387.0,0.0
월곡2동,1.36,0,0.0,14254.0,0.0
장위1동,0.7,0,0.0,,
장위2동,0.67,0,0.0,,
장위3동,0.65,0,0.0,,
성북동,2.86,12,4.196,15696.0,7.64525993883792
성북동,2.86,12,4.196,7954.0,15.086748805632386
성북동,2.86,12,4.196,9411.0,12.75103602167676
삼선동,0.92,5,5.435,21796.0,2.2939988988805284
동선동,0.73,0,0.0,14836.0,0.0
종암동,1.46,41,28.082,36683.0,11.176839407900118
석관동,1.73,33,19.075,33074.0,9.977625929733325
번1동,0.66,0,0.0,16175.0,0.0
번2동,0.95,60,63.158,14500.0,41.37931034482759
번3동,1.1,56,50.909,15783.0,35.48121396439207
수유1동,1.67,47,28.144,19464.0,24.14714344430744
수유2동,0.57,18,31.579,20122.0,8.945432859556703
수유3동,0.72,22,30.556,22679.0,9.700604083072443
삼양동,0.91,34,37.363,24422.0,13.921873720416018
삼양동,0.91,34,37.363,26614.0,12.775231081385735
미아동,0.93,37,39.785,20498.0,18.050541516245488
송중동,1.01,41,40.594,27701.0,14.800909714450745
송천동,0.9,13,14.444,22297.0,5.8303807687132805
삼각산동,0.62,16,25.806,30118.0,5.312437744870177
우이동,10.28,34,3.307,19469.0,17.463660177718424
인수동,3.28,41,12.5,28379.0,14.447302582895803
쌍문1동,1.24,0,0.0,,
쌍문2동,0.54,0,0.0,,
쌍문3동,0.5,0,0.0,,
쌍문4동,0.52,0,0.0,,
방학1동,0.69,0,0.0,,
방학2동,0.74,0,0.0,,
방학3동,2.62,0,0.0,,
창1동,0.88,0,0.0,,
창2동,1.05,0,0.0,,
창3동,0.67,0,0.0,,
창4동,0.95,0,0.0,,
창5동,0.7,0,0.0,,
도봉1동,8.72,0,0.0,,
도봉2동,0.83,0,0.0,,
월계1동,1.16,0,0.0,20256.0,0.0
