행정동명,area_km2,population,pop_density
사직동,1.23,8906.0,7240.650406504065
사직동,1.23,4442.0,3611.3821138211374
삼청동,1.49,2157.0,1447.6510067114093
부암동,2.27,9030.0,3977.973568281938
평창동,8.87,17210.0,1940.2480270574968
무악동,0.36,7818.0,21716.666666666668
교남동,0.35,9498.0,27137.14285714286
가회동,0.54,3711.0,6872.222222222222
종로1.2.3.4가동,2.35,6700.0,2851.0638297872338
종로5.6가동,0.6,5277.0,8795.0
이화동,0.78,7051.0,9039.74358974359
혜화동,1.12,15781.0,14090.17857142857
창신1동,0.31,,
창신2동,0.26,,
창신3동,0.23,,
숭인1동,0.23,,
숭인2동,0.35,,
청운효자동,2.57,10978.0,4271.5953307393
소공동,0.95,2180.0,2294.736842105264
회현동,0.84,4288.0,5104.761904761905
회현동,0.84,8056.0,9590.47619047619
명동,0.99,2502.0,2527.2727272727275
필동,1.14,4339.0,3806.140350877193
장충동,1.36,4601.0,3383.0882352941176
광희동,0.74,5721.0,7731.081081081081
을지로동,0.6,3032.0,5053.333333333334
신당5동,0.39,,
황학동,0.33,13116.0,39745.454545454544
중림동,0.48,12024.0,25050.0
신당동,0.55,7359.0,13379.999999999998
신당동,0.55,28504.0,51825.454545454544
다산동,0.51,13060.0,25607.843137254906
약수동,0.48,15859.0,33039.583333333336
청구동,0.34,11375.0,33455.882352941175
동화동,0.26,9816.0,37753.84615384616
후암동,0.86,15742.0,18304.6511627907
용산2가동,1.96,8595.0,4385.2040816326535
남영동,1.19,6709.0,5637.81512605042
원효로2동,0.71,,
효창동,0.44,10486.0,23831.81818181818
용문동,0.28,11126.0,39735.71428571428
용문동,0.28,17460.0,62357.14285714285
이촌1동,2.86,,
이촌2동,1.22,,
이태원1동,0.57,,
이태원2동,0.86,,
서빙고동,2.8,12281.0,4386.071428571428
보광동,0.71,7045.0,9922.535211267606
청파동,0.91,18528.0,20360.43956043956
원효로1동,0.59,,
한강로동,2.9,21030.0,7251.724137931034
한남동,3.01,13944.0,4632.5581395348845
왕십리2동,0.41,,
마장동,1.05,21340.0,20323.809523809523
사근동,1.1,12050.0,10954.545454545454
행당1동,0.59,,
행당2동,0.42,,
응봉동,0.57,14593.0,25601.75438596492
금호1가동,0.46,14460.0,31434.78260869565
금호4가동,0.84,14021.0,16691.666666666668
성수1가1동,1.97,,
성수1가2동,0.89,,
성수2가1동,1.17,,
성수2가3동,1.03,,
송정동,0.75,9321.0,12428.0
송정동,0.75,9112.0,12149.333333333334
송정동,0.75,36189.0,48252.0
송정동,0.75,22826.0,30434.666666666668
송정동,0.75,9221.0,12294.666666666666
송정동,0.75,3375.0,4500.0
송정동,0.75,23299.0,31065.33333333333
용답동,2.31,12157.0,5262.770562770563
왕십리도선동,0.72,25879.0,35943.055555555555
금호2.3가동,0.64,20733.0,32395.3125
옥수동,1.94,25178.0,12978.35051546392
화양동,1.16,23028.0,19851.72413793104
군자동,0.74,18597.0,25131.08108108108
군자동,0.74,21490.0,29040.54054054054
중곡1동,0.62,,
중곡2동,0.55,,
중곡3동,0.6,,
중곡4동,2.32,,
능동,1.1,10812.0,9829.090909090908
구의1동,0.56,,
구의2동,1.39,,
구의3동,1.02,,
광장동,2.39,33412.0,13979.91631799163
자양1동,0.57,,
자양2동,1.68,,
자양3동,1.2,,
자양4동,1.16,,
회기동,0.76,10245.0,13480.263157894737
휘경1동,0.63,,
휘경2동,1.05,,
청량리동,1.2,18294.0,15245.0
용신동,1.61,38814.0,24108.07453416149
제기동,1.18,22802.0,19323.728813559323
전농1동,1.19,,
전농2동,0.86,,
답십리1동,0.81,,
답십리2동,0.85,,
장안1동,1.25,,
장안2동,1.09,,
이문1동,1.04,,
이문2동,0.69,,
면목2동,0.77,,
면목4동,0.87,,
면목5동,0.7,,
면목7동,1.2,,
상봉1동,0.88,,
상봉2동,0.65,,
중화1동,0.64,,
중화2동,1.01,,
묵1동,1.2,,
묵2동,0.67,,
망우3동,0.92,,
신내1동,2.56,36927.0,14424.609375
신내2동,0.93,19211.0,20656.989247311827
면목본동,0.84,32080.0,38190.47619047619
면목3.8동,1.63,,
