행정동명,area_km2,subway_cnt,subway_dens,population,subway_per_10k
사직동,1.23,0,0.0,8906.0,0.0
사직동,1.23,0,0.0,4442.0,0.0
삼청동,1.49,0,0.0,2157.0,0.0
부암동,2.27,0,0.0,9030.0,0.0
평창동,8.87,0,0.0,17210.0,0.0
무악동,0.36,2,5.556,7818.0,2.558199027884369
교남동,0.35,0,0.0,9498.0,0.0
가회동,0.54,0,0.0,3711.0,0.0
종로1.2.3.4가동,2.35,0,0.0,6700.0,0.0
종로5.6가동,0.6,0,0.0,5277.0,0.0
이화동,0.78,0,0.0,7051.0,0.0
혜화동,1.12,0,0.0,15781.0,0.0
창신1동,0.31,0,0.0,,
창신2동,0.26,0,0.0,,
창신3동,0.23,0,0.0,,
숭인1동,0.23,0,0.0,,
숭인2동,0.35,0,0.0,,
청운효자동,2.57,0,0.0,10978.0,0.0
소공동,0.95,0,0.0,2180.0,0.0
회현동,0.84,0,0.0,4288.0,0.0
회현동,0.84,0,0.0,8056.0,0.0
명동,0.99,0,0.0,2502.0,0.0
필동,1.14,2,1.754,4339.0,4.609356994699239
장충동,1.36,0,0.0,4601.0,0.0
광희동,0.74,1,1.351,5721.0,1.7479461632581714
을지로동,0.6,0,0.0,3032.0,0.0
신당5동,0.39,0,0.0,,
황학동,0.33,0,0.0,13116.0,0.0
중림동,0.48,0,0.0,12024.0,0.0
신당동,0.55,2,3.636,7359.0,2.7177605652941974
신당동,0.55,2,3.636,28504.0,0.7016559079427449
다산동,0.51,3,5.882,13060.0,2.2970903522205206
약수동,0.48,1,2.083,15859.0,0.6305567816381865
청구동,0.34,0,0.0,11375.0,0.0
동화동,0.26,0,0.0,9816.0,0.0
후암동,0.86,0,0.0,15742.0,0.0
용산2가동,1.96,0,0.0,8595.0,0.0
남영동,1.19,0,0.0,6709.0,0.0
원효로2동,0.71,0,0.0,,
효창동,0.44,0,0.0,10486.0,0.0
용문동,0.28,0,0.0,11126.0,0.0
용문동,0.28,0,0.0,17460.0,0.0
이촌1동,2.86,0,0.0,,
이촌2동,1.22,0,0.0,,
이태원1동,0.57,0,0.0,,
이태원2동,0.86,0,0.0,,
서빙고동,2.8,0,0.0,12281.0,0.0
보광동,0.71,1,1.408,7045.0,1.4194464158977995
청파동,0.91,0,0.0,18528.0,0.0
원효로1동,0.59,0,0.0,,
한강로동,2.9,2,0.69,21030.0,0.951022349025202
한남동,3.01,1,0.332,13944.0,0.7171543316121629
왕십리2동,0.41,0,0.0,,
마장동,1.05,3,2.857,21340.0,1.4058106841611997
사근동,1.1,2,1.818,12050.0,1.6597510373443982
행당1동,0.59,0,0.0,,
행당2동,0.42,0,0.0,,
응봉동,0.57,1,1.754,14593.0,0.6852600561913246
금호1가동,0.46,1,2.174,14460.0,0.6915629322268326
금호4가동,0.84,0,0.0,14021.0,0.0
