행정동_코드,행정동명,area_km2,집객시설_수,anchor_fac_dens
11110515,청운효자동,2.57,432.0,168.09338521400778
11110530,사직동,1.23,3600.0,2926.829268292683
11110540,삼청동,1.49,288.0,193.28859060402684
11110550,부암동,2.27,828.0,364.75770925110135
11110560,평창동,8.87,1548.0,174.5208568207441
11110570,무악동,0.36,324.0,900.0
11110580,교남동,0.35,1566.0,4474.285714285715
11110600,가회동,0.54,1098.0,2033.3333333333333
11110615,종로1?2?3?4가동,,12816.0,
11110630,종로5?6가동,,3636.0,
11110640,이화동,0.78,468.0,600.0
11110650,혜화동,1.12,1962.0,1751.7857142857142
11110670,창신1동,0.31,2196.0,7083.870967741936
11110680,창신2동,0.26,432.0,1661.5384615384614
11110690,창신3동,0.23,216.0,939.1304347826086
11110700,숭인1동,0.23,234.0,1017.391304347826
11110710,숭인2동,0.35,738.0,2108.571428571429
11140520,소공동,0.95,13824.0,14551.578947368422
11140540,회현동,0.84,3618.0,4307.142857142857
11140550,명동,0.99,6912.0,6981.818181818182
11140570,필동,1.14,1332.0,1168.421052631579
11140580,장충동,1.36,990.0,727.9411764705882
11140590,광희동,0.74,6066.0,8197.297297297297
11140605,을지로동,0.6,2160.0,3600.0
11140615,신당동,0.55,1692.0,3076.363636363636
11140625,다산동,0.51,1926.0,3776.470588235294
11140635,약수동,0.48,468.0,975.0
11140645,청구동,0.34,90.0,264.70588235294116
11140650,신당5동,0.39,918.0,2353.846153846154
11140665,동화동,0.26,288.0,1107.6923076923076
11140670,황학동,0.33,882.0,2672.7272727272725
11140680,중림동,0.48,810.0,1687.5
11170510,후암동,0.86,1188.0,1381.3953488372092
11170520,용산2가동,1.96,360.0,183.67346938775512
11170530,남영동,1.19,2196.0,1845.3781512605042
11170555,청파동,0.91,1098.0,1206.5934065934066
11170560,원효로1동,0.59,504.0,854.2372881355933
11170570,원효로2동,0.71,324.0,456.3380281690141
11170580,효창동,0.44,720.0,1636.3636363636363
11170590,용문동,0.28,972.0,3471.428571428571
11170625,한강로동,2.9,3906.0,1346.896551724138
11170630,이촌1동,2.86,450.0,157.34265734265736
11170640,이촌2동,1.22,180.0,147.54098360655738
11170650,이태원1동,0.57,2556.0,4484.21052631579
11170660,이태원2동,0.86,936.0,1088.3720930232557
11170685,한남동,3.01,1980.0,657.8073089700997
11170690,서빙고동,2.8,324.0,115.71428571428572
11170700,보광동,0.71,612.0,861.9718309859155
11200520,왕십리2동,0.41,486.0,1185.3658536585367
11200535,왕십리도선동,0.72,1116.0,1550.0
11200540,마장동,1.05,1404.0,1337.142857142857
11200550,사근동,1.1,396.0,359.99999999999994
11200560,행당1동,0.59,2250.0,3813.5593220338983
11200580,응봉동,0.57,252.0,442.1052631578948
11200590,금호1가동,0.46,378.0,821.7391304347826
11200615,금호2?3가동,,900.0,
11200620,금호4가동,0.84,972.0,1157.142857142857
11200645,옥수동,1.94,432.0,222.68041237113403
11200650,성수1가1동,1.97,990.0,502.53807106598987
11200660,성수1가2동,0.89,1260.0,1415.7303370786517
11200670,성수2가1동,1.17,1170.0,1000.0000000000001
11200690,성수2가3동,1.03,1620.0,1572.8155339805826
11200720,송정동,0.75,612.0,816.0
11200790,용답동,2.31,576.0,249.35064935064935
11215710,화양동,1.16,2394.0,2063.793103448276
11215730,군자동,0.74,2826.0,3818.918918918919
11215740,중곡1동,0.62,648.0,1045.1612903225807
11215750,중곡2동,0.55,1926.0,3501.8181818181815
11215760,중곡3동,0.6,1098.0,1830.0
11215770,중곡4동,2.32,1008.0,434.4827586206897
11215780,능동,1.1,126.0,114.54545454545453
11215810,광장동,2.39,468.0,195.81589958158995
11215820,자양1동,0.57,1242.0,2178.947368421053
11215830,자양2동,1.68,1152.0,685.7142857142858
11215840,자양3동,1.2,324.0,270.0
11215847,자양4동,1.16,1062.0,915.5172413793105
11215850,구의1동,0.56,1818.0,3246.428571428571
11215860,구의2동,1.39,198.0,142.44604316546764
11215870,구의3동,1.02,1854.0,1817.6470588235293
11230536,용신동,1.61,3384.0,2101.863354037267
11230545,제기동,1.18,4806.0,4072.8813559322034
11230560,전농1동,1.19,2610.0,2193.27731092437
11230570,전농2동,0.86,216.0,251.1627906976744
11230600,답십리1동,0.81,954.0,1177.7777777777776
11230610,답십리2동,0.85,990.0,1164.7058823529412
11230650,장안1동,1.25,2484.0,1987.2
11230660,장안2동,1.09,2610.0,2394.4954128440363
11230705,청량리동,1.2,324.0,270.0
11230710,회기동,0.76,810.0,1065.7894736842104
11230720,휘경1동,0.63,1026.0,1628.5714285714287
11230730,휘경2동,1.05,306.0,291.4285714285714
11230740,이문1동,1.04,828.0,796.1538461538461
11230750,이문2동,0.69,18.0,26.086956521739133
11260520,면목2동,0.77,1872.0,2431.1688311688313
11260540,면목4동,0.87,234.0,268.9655172413793
11260550,면목5동,0.7,576.0,822.8571428571429
11260565,면목본동,0.84,2556.0,3042.857142857143
11260570,면목7동,1.2,1008.0,840.0
11260575,면목3?8동,,2232.0,
11260580,상봉1동,0.88,882.0,1002.2727272727273
11260590,상봉2동,0.65,2250.0,3461.5384615384614
11260600,중화1동,0.64,810.0,1265.625
11260610,중화2동,1.01,1278.0,1265.3465346534654
11260620,묵1동,1.2,720.0,600.0
11260630,묵2동,0.67,864.0,1289.55223880597
11260655,망우본동,3.03,1620.0,534.6534653465347
11260660,망우3동,0.92,342.0,371.73913043478257
11260680,신내1동,2.56,1404.0,548.4375
11260690,신내2동,0.93,252.0,270.96774193548384
11290525,성북동,2.86,1530.0,534.965034965035
11290555,삼선동,0.92,2124.0,2308.695652173913
11290575,동선동,0.73,2268.0,3106.849315068493
11290600,안암동,1.33,1854.0,1393.984962406015
11290610,보문동,0.56,342.0,610.7142857142857
11290620,정릉1동,0.44,576.0,1309.090909090909
11290630,정릉2동,1.17,702.0,600.0
11290640,정릉3동,3.71,972.0,261.99460916442047
